Iteration,Discriminator Loss,Generator Loss
0,1.456180,0.722782
100,1.340330,0.713424
200,1.283129,0.648271
300,1.273990,0.621743
400,1.346781,0.634887
500,1.319817,0.637601
600,1.356586,0.667993
700,1.193711,0.625067
800,1.348946,0.774278
900,1.150322,0.516366
1000,1.270738,0.482974
1100,1.321887,0.582961
1200,1.370083,0.581357
1300,1.378824,0.573338
1400,1.113922,0.461854
1500,1.159978,0.541130
1600,1.295004,0.627642
1700,1.430299,0.403964
1800,1.049557,0.370973
1900,1.268670,0.711966
2000,1.311334,0.507873
2100,1.302600,0.759189
2200,1.314575,0.493377
2300,1.280285,0.431497
2400,1.280663,0.446962
2500,1.247438,0.894133
2600,1.381749,0.495359
2700,1.363904,0.437412
2800,1.193837,0.380476
2900,1.358024,0.551672
3000,1.377081,0.412336
3100,1.288855,0.417363
3200,1.244415,0.652710
3300,1.344473,0.425616
3400,1.247484,0.796933
3500,1.346821,0.455762
3600,1.215568,0.666751
3700,1.356229,0.468788
3800,0.959700,0.271434
3900,1.358526,0.463910
4000,1.400607,0.510282
4100,1.353314,0.447374
4200,1.299364,0.417347
4300,1.250382,0.504907
4400,1.271718,0.433256
4500,1.122156,0.347154
4600,1.073355,0.392147
4700,1.317661,0.440566
4800,1.032245,0.360627
4900,1.318684,0.933642
5000,1.173220,0.738922
5100,1.287591,0.430789
5200,1.200527,0.409016
5300,1.586541,0.887576
5400,1.188850,0.405031
5500,1.322303,0.459376
5600,1.383072,0.469406
5700,0.901521,0.380183
5800,1.254187,0.489306
5900,1.394775,0.461459
6000,1.159419,0.456920
6100,1.053903,0.355609
6200,1.111936,0.284489
6300,1.285196,0.405861
6400,1.259148,0.805661
6500,1.004663,0.338763
6600,1.235447,0.852203
6700,1.297769,0.297837
6800,1.122842,0.302275
6900,1.398652,0.888410
7000,1.369766,0.613651
7100,1.283897,0.632910
7200,0.888055,0.364674
7300,1.247023,0.390964
7400,1.159157,0.674311
7500,0.878983,0.548705
7600,1.358588,0.979745
7700,1.247667,0.859166
7800,1.336534,0.909101
7900,1.339012,0.404751
8000,1.211520,0.835845
8100,1.305239,0.955894
8200,0.937571,0.301651
8300,1.119292,0.714078
8400,1.369270,0.610383
8500,1.167509,0.713447
8600,1.194397,0.721892
8700,1.139879,0.303519
8800,1.377603,0.960442
8900,1.309871,0.883266
9000,1.288334,1.322177
9100,1.217518,0.519595
9200,1.448581,1.000617
9300,1.179418,0.834931
9400,1.318847,0.953187
9500,1.452146,0.890552
9600,1.301055,0.516137
9700,1.219732,0.501273
9800,1.115464,0.583140
9900,1.266530,0.649611
10000,1.278091,0.864227
